address,description,status,dns_name
10.69.29.13/24,,active,iis-wf1.vms.qa.tvvideoms.com
10.69.29.20/24,,active,k2service.vms.qa.tvvideoms.com
10.69.29.25/24,,active,storageservice.vms.qa.tvvideoms.com
10.69.29.30/24,,active,engine.vms.qa.tvvideoms.com
10.69.29.31/24,,active,engine-med.vms.qa.tvvideoms.com
10.69.29.32/24,,active,flipfactory.vms.qa.tvvideoms.com
10.69.32.1/24,,active,
10.69.32.50/24,,active,win-tools.common.qa.tvvideoms.com
10.69.32.70/24,,active,docker-host.common.qa.tvvideoms.com
10.69.32.102/24,,active,repositories.common.qa.tvvideoms.com
10.69.32.107/24,,active,scam.common.qa.tvvideoms.com
10.69.32.108/24,,active,docker1.common.qa.tvvideoms.com
10.69.32.110/24,,active,storage.common.qa.tvvideoms.com
10.69.32.111/24,,active,storage.tf1.common.qa.tvvideoms.com
10.69.32.112/24,,active,storage.dev.common.qa.tvvideoms.com
10.69.32.113/24,,active,rproxy-ssl.common.qa.tvvideoms.com
10.69.32.114/24,,active,mock.common.qa.tvvideoms.com
10.69.32.116/24,,active,storage.cosott.common.qa.tvvideoms.com
10.69.32.118/24,,active,panda.common.qa.tvvideoms.com
10.69.32.119/24,,active,testlink.common.qa.tvvideoms.com
10.69.32.126/24,,active,dml.common.qa.tvvideoms.com
10.69.32.130/24,,active,smtp.common.qa.tvvideoms.com
10.69.32.140/24,,active,4tests.common.qa.tvvideoms.com
10.69.32.150/24,,active,inventory.common.qa.tvvideoms.com
10.69.32.160/24,,active,mesos-master.common.qa.tvvideoms.com
10.69.32.200/24,,active,ateme-manager.common.qa.tvvideoms.com
10.69.32.201/24,,active,ateme-transco1.common.qa.tvvideoms.com
10.69.32.202/24,,active,ateme-transco2.common.qa.tvvideoms.com
10.69.32.203/24,,active,ateme-manager2.common.qa.tvvideoms.com
10.69.32.208/24,,active,ateme-transco10.common.qa.tvvideoms.com
10.69.32.250/24,,active,diva.common.qa.tvvideoms.com
10.69.32.251/24,,active,diva-ws.common.qa.tvvideoms.com
10.159.1.11/24,,active,srv-docker-1.infra.inf.glb.tvvideoms.com
10.159.1.12/24,,active,srv-docker-2.infra.inf.glb.tvvideoms.com
10.159.4.1/24,,active,srv-web-1.infra.inf.glb.tvvideoms.com
10.159.4.201/24,,active,vip-web-1.glb.inf.tvvideoms.com
10.159.0.1/24,,active,vip-fw-admin-rmv.xco.arkena.net
10.159.0.2/24,,active,fw-admin-rmv-1.xco.arkena.net
10.159.0.3/24,,active,fw-admin-rmv-2.xco.arkena.net
10.159.2.1/24,,active,srv-infra-1.infra.inf.glb.tvvideoms.com
10.159.2.11/24,,active,srv-repos-1.infra.inf.glb.tvvideoms.com
10.56.0.1/24,,active,
10.56.0.2/24,,active,
10.56.0.3/24,,active,
10.56.0.4/24,,active,
10.56.0.5/24,,active,
10.56.0.6/24,,active,
10.56.0.7/24,,active,
10.56.0.8/24,,active,
10.56.0.9/24,,active,
10.56.0.17/24,,active,
10.56.0.18/24,,active,
10.56.0.19/24,,active,
10.56.0.20/24,,active,
10.56.1.1/24,sw-core-itx2-varp,active,
10.56.1.2/24,sw-core-itx2-1,active,
10.56.1.3/24,sw-core-itx2-2,active,
10.56.1.10/24,Codeur #10 FR,active,
10.56.1.11/24,Codeur #11 FR,active,
10.56.1.12/24,Codeur #12 FR,active,
10.56.1.13/24,Codeur #13 FR,active,
10.56.1.14/24,Codeur #14 FR,active,
10.56.1.15/24,Codeur #15 FR,active,
10.56.1.26/24,,active,
10.56.1.27/24,,active,
10.56.1.28/24,Codeur #28 BU FR,active,
10.56.1.29/24,Codeur #29 MENA,active,
10.56.1.30/24,Codeur #30 MENA,active,
10.56.1.31/24,Codeur #31 MENA,active,
10.56.1.32/24,Codeur #32 MENA,active,
10.56.1.33/24,Codeur #33 MENA,active,
10.56.1.34/24,Codeur #34 MENA,active,
10.56.1.35/24,Codeur #35 MENA,active,
10.56.1.36/24,Codeur #36 MENA,active,
10.56.1.37/24,Codeur #37 MENA,active,
10.56.1.38/24,,active,
10.56.1.39/24,,active,
10.56.1.40/24,Codeur #40 BU MENA,active,
10.56.1.41/24,,active,
10.56.1.42/24,,active,
10.56.1.43/24,,active,
10.56.1.50/24,PC Maintenance beIN INTX2,active,
10.56.1.52/24,bkm100-01,active,srv-bkm100-01.cji.prod.iptv.tvvideoms.com
10.56.1.53/24,bkm100-02,active,srv-bkm100-02.cji.prod.iptv.tvvideoms.com
10.56.1.54/24,,active,bks350-01.broadpeak.iptv
10.56.1.55/24,,active,bks350-02.broadpeak.iptv
10.56.1.56/24,VIP BKM100,active,vip-bkm100.cji.prod.iptv.tvvideoms.com
10.56.1.62/24,,active,
10.56.1.63/24,,active,
10.56.1.64/24,,active,
10.56.1.65/24,,active,
10.56.1.67/24,,active,
10.56.1.60/24,,active,
10.56.1.61/24,,active,
10.56.1.66/24,,active,
10.56.1.96/24,DCM contrib INTX2 MAIN,active,
10.56.1.97/24,DCM Contrib INTX2 BKP,active,
10.56.1.101/24,Halo #1,active,
10.56.1.102/24,Halo #2,active,
10.56.1.103/24,Sonde Bridgetech Backbone Multicast,active,
10.56.1.104/24,Sonde coté Réseau Externe,active,
10.56.1.106/24,Halo Mutual 106,active,
10.56.1.107/24,Halo Mutual 107,active,
10.56.1.110/24,acces BMC Codeur #10 FR,active,
10.56.1.111/24,acces BMC Codeur #11 FR,active,
10.56.1.112/24,acces BMC Codeur #12 FR,active,
10.56.1.113/24,acces BMC Codeur #13 FR,active,
10.56.1.114/24,acces BMC Codeur #14 FR,active,
10.56.1.115/24,acces BMC Codeur #15 FR,active,
10.56.1.126/24,acces BMC Codeur #26 MENA,active,
10.56.1.127/24,acces BMC Codeur #27 MENA HS ,active,
10.56.1.128/24,acces BMC Codeur #28 BU FR,active,
10.56.1.129/24,acces BMC Codeur #29 MENA,active,
10.56.1.131/24,acces BMC Codeur #31 MENA,active,
10.56.1.132/24,acces BMC Codeur #32 MENA,active,
10.56.1.133/24,acces BMC Codeur #33 MENA,active,
10.56.1.134/24,acces BMC Codeur #34 MENA,active,
10.56.1.135/24,acces BMC Codeur #35 MENA,active,
10.56.1.136/24,acces BMC Codeur #36 MENA,active,
10.56.1.137/24,acces BMC Codeur #37 MENA,active,
10.56.1.139/24,,active,
10.56.1.140/24,acces BMC Codeur #40 BU MENA,active,
10.56.1.141/24,,active,
10.56.1.142/24,,active,
10.56.1.143/24,,active,
10.56.1.150/24,,active,
10.56.1.152/24,,active,
10.56.1.153/24,,active,
10.56.1.154/24,,active,
10.56.1.155/24,,active,
10.56.1.160/24,,active,
10.56.1.161/24,,active,
10.56.1.162/24,,active,
10.56.1.163/24,,active,
10.56.1.164/24,,active,
10.56.1.165/24,,active,
10.56.1.166/24,,active,
10.56.1.167/24,,active,
10.56.1.206/24,,active,
10.56.1.207/24,,active,
10.56.1.220/24,,active,
10.56.1.221/24,,active,
10.56.1.222/24,,active,
10.56.1.224/24,,active,
10.56.1.202/24,acces BMC Halo #2,active,
10.56.1.223/24,,active,
10.56.1.225/24,,active,
10.56.2.1/24,ro-rmv-1,active,
10.56.2.2/24,Reserved,active,
10.56.2.3/24,Reserved,active,
10.56.2.50/24,beIN DR Codeur 50,active,WINDOWS-5E9J06I
10.56.2.51/24,beIN DR Codeur 51,active,WINDOWS-HM4JJU0
10.56.2.52/24,beIN DR Codeur 52,active,WINDOWS-RI5MLIB
10.56.2.53/24,beIN DR Codeur 53,active,WINDOWS-OTKL3F3
10.56.2.54/24,beIN DR Codeur 54,active,WINDOWS-PEDNSVK
10.56.2.55/24,beIN DR Codeur 55,active,WINDOWS-005K496
10.56.2.56/24,beIN DR Codeur 56,active,WINDOWS-NP6T2CJ
10.56.2.57/24,beIN DR Codeur 57,active,WINDOWS-K14K072
10.56.2.70/24,Bein-superv1,active,
10.56.2.71/24,Bein-superv2,active,
10.56.2.80/24,IPTV,active,vsm-2
10.56.2.103/24,Sonde Bridgetech Backbone Multicast,active,
10.56.2.72/24,EasyTools Management 1,active,
10.56.2.73/24,EasyTools Management 2,active,
10.56.2.111/24,HALO @ RMV,active,envivio-4E956906
10.56.2.150/24,,active,
10.56.2.151/24,,active,
10.56.2.153/24,,active,
10.56.2.154/24,,active,
10.56.2.157/24,,active,
10.56.2.181/24,,active,
10.56.2.211/24,BMC HALO RMV DR,active,
10.56.3.1/24,Router,active,
10.56.3.10/24,,active,
10.56.3.11/24,,active,
10.56.3.30/24,,active,
10.56.3.31/24,,active,
10.56.3.40/24,,active,
10.56.3.41/24,,active,
10.56.3.50/24,,active,
10.56.3.51/24,,active,
10.56.3.92/24,DCM Contrib N1,active,
10.56.3.93/24,,active,
10.56.3.94/24,,active,
10.56.3.95/24,,active,
10.56.3.100/24,,active,
10.56.3.101/24,,active,
10.56.3.140/24,,active,
10.56.3.141/24,,active,
10.56.3.142/24,,active,
10.56.3.143/24,,active,
10.56.3.144/24,,active,
10.56.3.150/24,,active,
10.56.3.151/24,,active,
10.56.3.152/24,,active,
10.56.3.153/24,,active,
10.56.3.154/24,,active,
10.56.3.155/24,,active,
10.56.3.158/24,,active,
10.56.3.159/24,,active,
10.56.3.200/24,,active,
10.56.5.1/24,,active,
10.56.5.3/24,,active,
10.56.5.4/24,,active,
10.56.5.10/24,,active,
10.56.5.210/24,,active,
10.56.5.211/24,,active,
10.56.5.222/24,,active,
10.56.6.1/24,sw-core-itx2-varp,active,
10.56.6.2/24,sw-core-itx2-1,active,
10.56.6.3/24,sw-core-itx2-2,active,
10.56.6.10/24,VMToolsIPTV_INTX2,active,vmtools-bkp.iptv.tvvideoms.com
10.56.9.4/24,supervision_PRA_FTV_S1,active,
10.56.9.5/24,supervision_PRA_FTV_S2,active,
10.56.9.252/24,,active,
10.56.9.253/24,,active,
10.56.9.254/24,,active,
10.56.10.1/24,,active,fw-1.ipplay.iptv.tvvideoms.com
10.56.10.2/24,,active,fw-2.ipplay.iptv.tvvideoms.com
10.56.10.31/24,IpPlay 1,active,main-1.ipplay.iptv.tvvideoms.com
10.56.10.32/24,IpPlay 2,active,main-2.ipplay.iptv.tvvideoms.com
10.56.10.33/24,IpPlay 3,active,main-3.ipplay.iptv.tvvideoms.com
10.56.10.34/24,IpPlay 4,active,main-4.ipplay.iptv.tvvideoms.com
10.56.10.35/24,IpPlay 5,active,main-5.ipplay.iptv.tvvideoms.com
10.56.10.36/24,IpPlay 6,active,main-6.ipplay.iptv.tvvideoms.com
10.56.10.37/24,IpPlay 7,active,main-7.ipplay.iptv.tvvideoms.com
10.56.10.40/24,IpPlay 10,active,main-10.ipplay.iptv.tvvideoms.com
10.56.10.50/24,,active,
10.56.10.100/24,Easytools Occultation transco X 0,active,
10.56.10.101/24,,active,
10.56.10.102/24,Easytools Overlay Baby TV,active,
10.56.10.103/24,Easytools Occultation transco X 1,active,
10.56.10.131/24,IpPlay 1b,active,bck-1.ipplay.iptv.tvvideoms.com
10.56.10.132/24,IpPlay 2b,active,bck-2.ipplay.iptv.tvvideoms.com
10.56.10.133/24,IpPlay 3b,active,bck-3.ipplay.iptv.tvvideoms.com
10.56.10.134/24,IpPlay 4b,active,bck-4.ipplay.iptv.tvvideoms.com
10.56.10.135/24,IpPlay 5b,active,bck-5.ipplay.iptv.tvvideoms.com
10.56.10.136/24,IpPlay 6b,active,bck-6.ipplay.iptv.tvvideoms.com
10.56.10.137/24,IpPlay 7b,active,bck-7.ipplay.iptv.tvvideoms.com
10.56.10.140/24,IpPlay 10b,active,bck-10.ipplay.iptv.tvvideoms.com
10.56.10.254/24,,active,gw.ipplay.iptv.tvvideoms.com
10.56.12.1/24,fw-1,active,fw-1.spv.iptv.tvvideoms.com
10.56.12.2/24,fw-2,active,fw-2.spv.iptv.tvvideoms.com
10.56.12.10/24,assitant ip,active,vmtools.iptv.tvvideoms.com
10.56.12.11/24,Shinken,active,shinken-1.spv.iptv.tvvideoms.com
10.56.12.254/24,vrrp,active,gw.spv.iptv.tvvideoms.com
10.56.100.201/24,,active,
10.56.100.202/24,,active,
10.56.100.203/24,,active,
10.56.100.204/24,,active,
10.56.100.205/24,,active,
10.56.100.206/24,,active,
95.81.145.97/27,,active,sw-core-rmv-vip.as43646.net
95.81.145.98/27,,active,sw-core-rmv-1.as43646.net
95.81.145.99/27,,active,sw-core-rmv-2.as43646.net
95.81.145.103/27,,active,
95.81.145.104/27,,active,
95.81.145.105/27,,active,
95.81.145.101/27,,active,fw-harmony-1.bpm.pro.common.tvvideoms.com
10.37.127.1/24,fwbpm-1.xco,active,fw-xco-1.bpm.c4m.tvvideoms.com
10.37.127.3/24,rr-1.bpm,active,rr-1.bpm.c4m.tvvideoms.com
10.37.127.4/24,rr-2.bpm,active,rr-2.bpm.c4m.tvvideoms.com
10.37.127.8/24,,active,fw-tools-1.bpm.c4m.tvvideoms.com
10.37.127.9/24,,active,fw-tools-2.bpm.c4m.tvvideoms.com
10.37.127.10/24,fw-ymks-ops-1.bpm,active,fw-harmony-1.bpm.prod.common.tvvideoms.com
10.37.127.11/24,fw-ymks-ops-2.bpm,active,fw-harmony-2.bpm.prod.common.tvvideoms.com
10.37.127.14/24,fw-tf1-ops-1.bpm,active,fw-tf1-ops-1.bpm.c4m.tvvideoms.com
10.37.127.15/24,fw-tf1-ops-1.bpm,active,fw-tf1-ops-2.bpm.c4m.tvvideoms.com
10.37.127.16/24,fw-tf1-1.bpm,active,fw-tf1-1.bpm.c4m.tvvideoms.com
10.37.127.17/24,fw-tf1-2.bpm,active,fw-tf1-2.bpm.c4m.tvvideoms.com
10.37.127.18/24,fw-tf1-preprod-1.bpm,active,fw-tf1-preprod-1.bpm.c4m.tvvideoms.com
10.37.127.19/24,fw-tf1-preprod-2.bpm,active,fw-tf1-preprod-2.bpm.c4m.tvvideoms.com
10.159.3.1/24,,active,srv-loginput-1.infra.inf.glb.tvvideoms.com
10.159.3.2/24,,active,srv-loginput-2.infra.inf.glb.tvvideoms.com
10.159.3.201/24,,active,srv-loginput-1.infra.inf.glb.tvvideoms.com
10.159.3.202/24,,active,srv-loginput-2.infra.inf.glb.tvvideoms.com
10.159.5.1/24,,active,srv-monitor-1.infra.inf.glb.tvvideoms.com
10.159.5.11/24,,active,srv-graph-1.infra.inf.glb.tvvideoms.com
10.250.1.1/24,,active,
10.250.1.2/24,,active,lbs-1.ftpproxy.arkena.net
10.250.1.3/24,,active,lbs-2.ftpproxy.arkena.net
10.250.1.11/24,,active,ftp-1.ftpproxy.arkena.net
10.250.1.12/24,,active,ftp-2.ftpproxy.arkena.net
10.250.1.13/24,,active,ftp-3.ftpproxy.arkena.net
10.250.1.14/24,,active,ftp-4.ftpproxy.arkena.net
10.250.1.17/24,,active,
10.250.1.21/24,,active,
10.250.1.22/24,,active,
10.250.1.23/24,,active,
10.250.1.24/24,,active,
10.250.1.250/24,,active,graphite.adm.asapp.tvvideoms.com
172.24.56.8/24,,active,srv-logs-dalet.orangecs.net
172.24.56.11/24,,active,dalet-bdd-11.orangecs.net
172.24.56.12/24,,active,dalet-bdd-12.orangecs.net
172.24.56.13/24,,active,dalet-core-11.orangecs.net
172.24.56.14/24,,active,dalet-core-12.orangecs.net
172.24.56.15/24,,active,dalet-core-13.orangecs.net
172.24.56.16/24,,active,dalet-web-11.orangecs.net
172.24.56.56/24,,active,
172.24.56.57/24,,active,
172.24.56.58/24,,active,
172.24.56.60/24,,active,dalet-galaxy.orangecs.net
172.24.56.111/24,,active,
172.24.56.112/24,,active,
172.24.56.114/24,,active,
172.24.56.117/24,,active,dalet-mig-11.orangecs.net
172.24.56.118/24,,active,dalet-mig-12.orangecs.net
172.24.56.119/24,,active,dalet-conv-11.orangecs.net
172.24.56.120/24,,active,dalet-conv-12.orangecs.net
172.24.56.131/24,,active,srv-ad11.orangecs.net
172.24.56.132/24,,active,srv-ad12.orangecs.net
172.24.56.140/24,,active,
172.24.56.142/24,,active,pc-dalet02.orangecs.net
172.24.56.143/24,,active,pc-dalet03.orangecs.net
172.24.56.146/24,,active,pc-dalet06.orangecs.net
172.24.56.149/24,,active,daletwfs-01-qa.orangecs.net
172.24.56.151/24,,active,daletmig-01-qa.orangecs.net
172.24.56.153/24,,active,daletsql-01-qa.orangecs.net
172.24.56.252/24,,active,
172.24.56.253/24,,active,
172.24.56.254/24,,active,
172.16.0.1/24,SRV-AD01,active,
172.16.0.68/24,QNAP 18,active,
172.16.0.141/24,Engine - POG ENGINE on Proxmox,active,MCONF2FPROLCP02.mamcji.net
172.16.0.142/24,,active,
172.16.0.149/24,,active,
172.16.0.158/24,mel-cji-bein158 Automate IPPLAY,active,
172.16.0.159/24,,active,
172.16.0.160/24,mel-cji-fox160,active,
172.16.0.168/24,Smartjog Ivry,active,
172.16.0.184/24,mel-cji-ftv184 ENGINE BDA / Content Exchange OCS,active,
172.16.0.186/24,,active,
172.16.0.193/24,,active,
172.16.0.198/24,,active,
10.201.40.1/23,fw-guests.office-cji.arkena.net,active,
10.201.40.2/23,fw-guests-1.office-cji.arkena.net,active,
10.201.42.1/24,fw-printers.office-cji.arkena.net,active,
10.201.42.2/24,fw-printers-1.office-cji.arkena.net,active,
10.201.32.1/21,fw-users.office-cji.arkena.net,active,
10.201.32.2/21,fw-users-1.office-cji.arkena.net,active,
172.16.81.7/24,,active,
172.16.81.105/24,,active,
172.16.35.40/24,,active,
172.16.35.41/24,,active,
172.16.35.62/24,,active,
172.16.35.63/24,,active,
172.16.35.65/24,PC-B25 Maintenance,active,
172.16.35.70/24,,active,acces-a-distance-regie-rmw.pra-ftv.regie.tvvideoms.com
172.16.35.80/24,,active,
172.16.35.81/24,,active,
172.16.35.90/24,,active,
172.16.35.93/24,,active,pc5.lcp.regie.tvvideoms.com
172.16.35.95/24,,active,
172.16.35.98/24,,active,
172.16.35.94/24,,active,pc6.lcp.regie.tvvideoms.com
172.16.35.112/24,,active,
172.16.35.113/24,NAS COMMUN AN/PS,active,
172.16.35.115/24,,active,
172.16.35.117/24,,active,
172.16.35.118/24,,active,
172.16.35.122/24,,active,
172.16.35.123/24,,active,
172.16.35.125/24,,active,
172.16.35.126/24,,active,
172.16.35.211/24,,active,
172.16.35.212/24,,active,
172.16.35.225/24,,active,
10.20.35.1/24,,active,
10.20.35.3/24,,active,
10.20.35.8/24,,active,
10.20.35.10/24,,active,
10.20.35.13/24,,active,
10.20.35.31/24,,active,
10.20.35.39/24,,active,
10.20.35.44/24,,active,
10.20.35.63/24,,active,
10.20.35.82/24,,active,
10.20.35.83/24,,active,
10.20.35.38/24,,active,
10.20.35.62/24,,active,
10.20.35.93/24,,active,
10.20.35.94/24,,active,
10.20.35.98/24,,active,
10.20.35.99/24,,active,
10.20.35.100/24,,active,
10.20.35.119/24,,active,
10.20.35.121/24,,active,
10.20.35.123/24,,active,
10.20.35.180/24,,active,
10.20.35.181/24,,active,
10.20.35.182/24,,active,
10.20.35.190/24,,active,
10.20.35.191/24,,active,
10.20.35.200/24,,active,
10.20.35.201/24,,active,
10.20.35.202/24,,active,
10.20.35.216/24,,active,
10.20.35.219/24,,active,
10.20.35.225/24,,active,
10.20.35.227/24,,active,
10.20.35.228/24,,active,
10.20.35.232/24,,active,
10.20.35.233/24,,active,
10.20.35.226/24,,active,
10.20.35.230/24,,active,
172.16.81.5/24,,active,
10.100.161.1/24,,active,srv-ad-pprod-01.cji.fr
10.100.161.10/24,iis-01.dcm.preprod.cji.fr,active,srv-iis-p-dcm01.cji.fr
10.100.161.11/24,iis-02.dcm.preprod.cji.fr,active,srv-iis-p-dcm02.cji.fr
10.100.161.12/24,k2.dcm.preprod.cji.fr,active,srv-k2-p-dcm.cji.fr
10.100.161.13/24,sql1.dcm.preprod.cji.fr,active,srv-sql-p-dcm01.cji.fr
10.100.161.14/24,sql2-dcm.prod.cji.fr,active,srv-sql-p-dcm02.cji.fr
10.100.161.254/24,,active,
95.81.173.129/27,ro-str-1,active,sw-core-itx2-vip.as43646.net
95.81.173.130/27,,active,sw-core-itx2-1.as43646.net
95.81.173.131/27,,active,sw-core-itx2-2.as43646.net
95.81.173.133/27,auth-2.smartjog.net,active,
95.81.173.145/27,callofduty.arkena.net,active,callofduty.arkena.net
95.81.173.146/27,jira.arkena.net,active,jira.arkena.net
95.81.173.147/27,confluence.arkena.net,active,confluence.arkena.net
95.81.173.148/27,account.arkena.net,active,account.arkena.net
95.81.173.155/27,ntp-3.arkena.net,active,ntp-3.arkena.net
10.37.20.4/25,tf1-head-01.nas-rmv.store.tvvideoms.com,active,store-01.tf1.store.media.tvvideoms.com
10.37.20.5/25,tf1-head-02.nas-rmv.store.tvvideoms.com,active,store-02.tf1.store.media.tvvideoms.com
10.37.20.7/25,fw-int-01.nas-rmv.store.tvvideoms.com,active,
10.37.20.8/25,fw-int-02.nas-rmv.store.tvvideoms.com,active,
10.37.20.9/25,fw-in-vip.nas-rmv.store.tvvideoms.com,active,
10.37.20.10/25,cos-head-vip.nas-rmv.store.tvvideoms.com,active,store-vip.cos.store.media.tvvideoms.com
10.37.20.11/25,cos-head-01.nas-rmv.store.tvvideoms.com,active,store-01.cos.store.media.tvvideoms.com
10.37.20.12/25,cos-head-02.nas-rmv.store.tvvideoms.com,active,store-02.cos.store.media.tvvideoms.com
10.37.20.19/25,sto-qnap-01 ,active,
10.37.20.20/25,,active,
10.37.20.30/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.31/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.32/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.33/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.34/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.35/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.36/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.37/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.38/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.39/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.40/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.41/25,,active,vip-isilon-2.store.pro.mam.tvvideoms.com
10.37.20.100/25,,active,
10.201.42.10/24,printer-cji-1,active,
10.201.42.11/24,printer-cji-6,active,
10.201.42.12/24,printer-cji-7,active,
10.201.42.13/24,printer-cji-8,active,
10.201.34.51/21,,active,
10.201.34.84/21,,active,
10.201.35.174/21,,active,
10.201.36.15/21,,active,
10.201.36.138/21,,active,
10.201.37.108/21,,active,
10.201.37.209/21,,active,
10.201.38.43/21,,active,
10.201.38.72/21,,active,
10.201.39.101/21,,active,
10.60.1.1/24,sw-core-rmv-vrrp,active,
10.60.1.2/24,sw-core-rmv-1,active,
10.60.1.3/24,sw-core-rmv-2,active,
10.60.1.4/24,lbsl7-rmv-1.origin.arkena.com,active,lbsl7-rmv-1.origin.tvvideoms.com
10.60.1.5/24,lbsl7-rmv-2.origin.arkena.com,active,lbsl7-rmv-2.origin.tvvideoms.com
10.60.1.6/24,lbsl7-rmv-1.od.origin.arkena.com,active,lbsl7-rmv-1.od.origin.tvvideoms.com
10.60.1.7/24,lbsl7-rmv-2.od.origin.arkena.com,active,lbsl7-rmv-2.od.origin.tvvideoms.com
10.60.1.8/24,,active,
10.60.1.11/24,origin-a2.intern.live.origin.arkena.com,active,origin-a2.intern.live.origin.tvvideoms.com
10.60.1.13/24,audio-in-a2.origin.arkena.com,active,audio-in-a2.intern.origin.tvvideoms.com
10.60.1.42/24,http-a4.od.origin.arkena.com,active,http-a4.od.origin.tvvideoms.com
10.60.1.43/24,http-a3.od.origin.arkena.com,active,http-a3.od.origin.tvvideoms.com
10.60.1.51/24,storage-1.od.origin.arkena.com,active,storage-1.od.origin.tvvideoms.com
10.60.1.52/24,storage-2.od.origin.arkena.com,active,storage-2.od.origin.tvvideoms.com
10.60.1.53/24,tf1-fxp-01.scality.od.origin.arkena.com,active,tf1-fxp-01.scality.od.origin.tvvideoms.com
10.60.1.54/24,tf1-fxp-02.scality.od.origin.arkena.com,active,tf1-fxp-02.scality.od.origin.tvvideoms.com
10.60.1.55/24,tf1-bdk-01.scality.od.origin.arkena.com,active,tf1-bdk-01.scality.od.origin.tvvideoms.com
10.60.1.56/24,tf1-bdk-02.scality.od.origin.arkena.com,active,tf1-bdk-02.scality.od.origin.tvvideoms.com
10.60.1.252/24,elk-1.origin.arkena.com,active,elk-1.origin.tvvideoms.com
10.60.1.253/24,poller.origin.arkena.com,active,poller.origin.tvvideoms.com
10.37.202.1/24,,active,
10.37.202.10/24,,active,api-ateme.preprod.drivers.c4m.tvvideoms.com
10.37.202.11/24,,active,api-elemental.preprod.drivers.c4m.tvvideoms.com
10.37.202.50/24,,active,worker-transco-a-1.preprod.drivers.c4m.tvvideoms.com
10.37.202.51/24,,active,worker-transco-a-2.preprod.drivers.c4m.tvvideoms.com
10.37.202.60/24,,active,
10.37.202.20/24,,active,BENCHATEME
10.37.7.2/25,fw-ext-01.dmz.media.tvvideoms.com,active,
10.37.7.1/25,fw-ext-vip.dmz.media.tvvideoms.com,active,
10.37.7.3/25,fw-ext-02.dmz.media.tvvideoms.com,active,
10.37.18.23/25,,active,srv-ftp-1.recept.pro.common.tvvideoms.com
10.37.18.24/25,,active,srv-ftp-2.recept.pro.common.tvvideoms.com
10.37.18.124/25,FW,active,
10.37.18.125/25,FW,active,
10.37.18.126/25,FW,active,
